                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.7599,                 2.3445,                 2.5388,                0.33364,                 0.2421,                0.22965,                0.09143,                 5.1335,                 6.6573,                 4.7931,             0.00034206,             0.00034206,             0.00034206
                     65,                 2.7207,                 2.3325,                 2.5272,                0.41075,                0.21496,                0.22091,                0.08468,                 5.1872,                 6.7512,                 4.8475,             0.00033306,             0.00033306,             0.00033306
                     66,                 2.6702,                 2.3043,                 2.5076,                0.36683,                0.24214,                0.24601,                0.08889,                 5.0969,                 6.6519,                 4.8075,             0.00032406,             0.00032406,             0.00032406
                     67,                  2.657,                 2.2653,                  2.484,                0.29398,                0.25456,                0.22084,                0.07973,                 5.2865,                 6.6954,                 4.8856,             0.00031506,             0.00031506,             0.00031506
                     68,                 2.6101,                 2.2576,                 2.4759,                0.32277,                0.27944,                 0.2281,                0.08577,                 5.1351,                 6.5404,                 4.9322,             0.00030606,             0.00030606,             0.00030606
                     69,                 2.6353,                 2.1695,                 2.4619,                0.30698,                0.26859,                0.22177,                0.08011,                 5.3243,                 6.8712,                 5.0468,             0.00029706,             0.00029706,             0.00029706
                     70,                   2.55,                 2.1383,                 2.4088,                0.39686,                0.27134,                0.26873,                0.09939,                 5.1674,                 6.7277,                  4.952,             0.00028806,             0.00028806,             0.00028806
                     71,                 2.5574,                 2.1418,                 2.4131,                0.34269,                0.22459,                0.23655,                0.09342,                  5.232,                 6.5945,                 4.8619,             0.00027906,             0.00027906,             0.00027906
                     72,                 2.5154,                 2.1505,                 2.4039,                0.30194,                0.26677,                0.25072,                0.09664,                 5.2702,                 6.6496,                 4.9532,             0.00027006,             0.00027006,             0.00027006
                     73,                 2.5258,                 2.1396,                  2.408,                0.33374,                0.27479,                0.23887,                0.08829,                 5.1202,                 6.7586,                 4.7877,             0.00026106,             0.00026106,             0.00026106
                     74,                 2.4985,                  2.082,                  2.403,                0.33146,                0.25991,                0.23375,                0.08815,                 5.2131,                 6.7236,                 4.8995,             0.00025207,             0.00025207,             0.00025207
                     75,                  2.489,                 2.0705,                 2.3986,                0.37075,                0.24812,                0.23667,                0.09235,                 5.3043,                  6.464,                 5.1492,             0.00024307,             0.00024307,             0.00024307
                     76,                 2.4737,                 2.0105,                  2.366,                0.40977,                0.25808,                0.25527,                0.08842,                 5.3138,                 6.6728,                 5.0959,             0.00023407,             0.00023407,             0.00023407
                     77,                 2.4454,                  1.993,                 2.3563,                 0.2789,                0.28226,                0.23721,                0.09182,                  5.335,                  6.655,                 5.1799,             0.00022507,             0.00022507,             0.00022507
                     78,                 2.4458,                 2.0025,                 2.3402,                0.31758,                0.25991,                0.25044,                0.09687,                 5.1983,                 6.8099,                 5.0064,             0.00021607,             0.00021607,             0.00021607
                     79,                 2.4341,                 2.0034,                 2.3705,                0.31641,                0.27388,                0.25077,                0.09181,                  5.353,                 6.7937,                 5.1425,             0.00020707,             0.00020707,             0.00020707
                     80,                 2.3993,                 1.9538,                 2.3318,                0.42107,                0.22787,                0.24866,                0.08327,                 5.3194,                 6.6998,                 5.1104,             0.00019807,             0.00019807,             0.00019807
                     81,                 2.3723,                 1.9268,                 2.3179,                0.41037,                0.23499,                0.25123,                0.08757,                 5.3381,                 6.9608,                  5.056,             0.00018907,             0.00018907,             0.00018907
                     82,                 2.3397,                 1.8653,                 2.2975,                0.39183,                0.28367,                0.25247,                 0.0851,                 5.3553,                 6.7773,                 5.1037,             0.00018007,             0.00018007,             0.00018007
                     83,                 2.3223,                 1.8694,                 2.2943,                0.41656,                0.23832,                0.24923,                0.08478,                 5.3827,                 6.8071,                 5.0936,             0.00017107,             0.00017107,             0.00017107
                     84,                 2.3258,                 1.8748,                 2.2887,                0.36751,                0.29006,                0.26232,                0.09344,                 5.3215,                 6.7905,                 5.0519,             0.00016207,             0.00016207,             0.00016207
                     85,                  2.328,                 1.8754,                 2.2956,                0.39016,                0.27865,                0.27284,                0.09981,                 5.3352,                 6.7887,                 5.1691,             0.00015308,             0.00015308,             0.00015308
                     86,                 2.3215,                 1.8423,                 2.3007,                0.36453,                0.28885,                0.24296,                0.08789,                 5.3245,                 6.9657,                  5.124,             0.00014408,             0.00014408,             0.00014408
                     87,                 2.2836,                 1.8659,                 2.2768,                0.30934,                0.25156,                0.23238,                0.08313,                 5.4225,                 6.9763,                 5.2686,             0.00013508,             0.00013508,             0.00013508
                     88,                 2.2504,                 1.7865,                 2.2709,                0.31919,                 0.2599,                0.23353,                0.08309,                 5.4769,                 6.9426,                 5.2967,             0.00012608,             0.00012608,             0.00012608
                     89,                 2.1976,                 1.7557,                 2.2346,                0.35058,                0.27456,                0.24768,                0.08524,                 5.3702,                 6.9561,                 5.2136,             0.00011708,             0.00011708,             0.00011708
